id_aluno,ano,defasagem,inde,ida,ieg,iaa_val,iaa_recusa,ips,ipp,ipv,fase,idade,tempo_vinculo,d_inde,d_ieg,d_ida,d_ipv,genero,tipo_instituicao,alvo_defasagem_t1
1,2022,-1.0,5.783,4.0,4.1,8.3,0.0,5.6,8.174000000000001,7.278,7.0,19.0,6,,,,,Fem,Pública,False
1000,2023,0.0,7.9162,7.0,9.4,8.5,0.0,3.77,6.25,8.92,0.0,8.0,0,,,,,Fem,Pública,False
1001,2023,-1.0,8.1162,7.8,9.1,9.0,0.0,7.52,7.5,9.17,0.0,9.0,0,,,,,Fem,Pública,True
1002,2023,-1.0,7.9012,7.0,9.7,9.0,0.0,7.52,6.25,8.92,0.0,9.0,0,,,,,Fem,Pública,True
1003,2023,0.0,7.6522,4.0,8.5,9.0,0.0,7.52,7.5,8.75,0.0,8.0,0,,,,,Masc,Pública,True
1004,2023,0.0,8.3137,7.9,9.6,9.0,0.0,7.52,6.875,7.42,0.0,9.0,0,,,,,Fem,Pública,True
1006,2023,0.0,8.5922,8.7,9.3,9.0,0.0,7.52,7.5,8.0,0.0,8.0,0,,,,,Fem,Pública,True
1008,2023,0.0,8.13595,8.4,8.6,9.0,0.0,7.52,5.9375,7.5,0.0,8.0,0,,,,,Masc,Pública,True
1009,2023,0.0,7.245,8.8,9.0,,1.0,3.77,7.5,7.84,0.0,8.0,0,,,,,Masc,Pública,True
1012,2023,0.0,7.96495,6.6,9.9,10.0,0.0,3.77,7.1875,7.845,0.0,8.0,0,,,,,Fem,Pública,True
1013,2023,0.0,7.6237,8.3,9.6,9.0,0.0,4.39,5.625,5.76,0.0,8.0,0,,,,,Masc,Pública,True
1014,2023,0.0,8.2582,8.2,9.7,9.0,0.0,3.77,7.5,8.255,0.0,7.0,0,,,,,Fem,Pública,True
1015,2023,-1.0,7.538908333,6.3,9.3,10.0,0.0,6.27,7.34375,7.786666667,1.0,10.0,0,,,,,Fem,Pública,False
1017,2023,-1.0,6.505333333,7.7,8.0,,1.0,5.02,7.5,8.116666667,1.0,11.0,0,,,,,Masc,Pública,False
1018,2023,0.0,6.824,6.3,8.5,,1.0,5.02,7.5,8.06,1.0,10.0,0,,,,,Masc,Pública,True
1019,2023,1.0,7.177033333,4.3,9.1,7.5,0.0,5.02,6.875,7.836666667,1.0,8.0,0,,,,,Fem,Pública,False
1020,2023,0.0,7.612283333,6.1,9.1,10.0,0.0,2.52,7.1875,8.056666667,1.0,9.0,0,,,,,Fem,Pública,False
1021,2023,0.0,6.964616667,3.3,9.2,8.0,0.0,3.77,7.1875,7.893333333,1.0,9.0,0,,,,,Masc,Pública,True
1022,2023,0.0,7.164616667,4.7,8.5,8.5,0.0,3.77,7.1875,7.893333333,1.0,9.0,0,,,,,Masc,Pública,True
1023,2023,0.0,9.1342,9.1,10.0,10.0,0.0,6.27,8.75,9.06,1.0,9.0,0,,,,,Fem,Pública,False
1024,2023,-1.0,7.788875,9.8,10.0,,1.0,6.27,9.21875,8.95,1.0,10.0,0,,,,,Fem,Pública,True
1025,2023,0.0,8.215158333,7.5,8.9,8.5,0.0,7.52,7.65625,7.836666667,1.0,10.0,0,,,,,Masc,Pública,True
1027,2023,-1.0,7.748866667,6.0,9.7,9.5,0.0,7.52,7.5,8.333333333,1.0,10.0,0,,,,,Fem,Pública,False
1028,2023,-1.0,6.415708333,5.0,9.2,,1.0,7.52,7.34375,7.946666667,1.0,11.0,0,,,,,Masc,Pública,True
1029,2023,0.0,7.058533333,5.4,6.3,10.0,0.0,3.77,7.5,8.006666667,1.0,9.0,0,,,,,Fem,Pública,True
103,2022,1.0,8.107,7.3,8.7,7.9,0.0,7.5,8.253999999999992,7.708,4.0,13.0,2,,,,,Fem,Privada,False
103,2023,1.0,8.0239,7.1,9.2,8.3,0.0,5.0,8.125,8.09,5.0,14.0,3,-0.08309999999999995,0.5,-0.20000000000000018,0.3819999999999997,Fem,Privada,False
1030,2023,-1.0,7.4027,6.9,9.7,8.5,0.0,3.77,6.875,8.39,1.0,11.0,0,,,,,Masc,Pública,False
