id_aluno,genero,ano_nasc,ano_ingresso,tipo_instituicao,pedra,inde,cf,ct,n_av,avaliador_1,rec_av_1,avaliador_2,rec_av_2,avaliador_3,rec_av_3,avaliador_4,rec_av_4,iaa,ieg,ips,rec_psicologia,ida,matem,portug,ingles,indicado_bolsa,ipv,ian,destaque_ieg,destaque_ida,destaque_ipv,ano,ipp,avaliador_5,avaliador_6,escola,fase,fase_ideal,fase_grupo,idade,tempo_vinculo,defas,atingiu_pv,em_risco
1,0,2003.0,2016,Escola Pública,Quartzo,5.783,18.0,10.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.3,4.1,5.6,Requer avaliação,4.0,2.7,3.5,6.0,Sim,7.278,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,8.174000000000001,,,,7.0,8.0,fase_0_7,19.0,6,-1.0,False,True
1,0,2003.0,2016,Privada *Parcerias com Bolsa 100%,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,2023,,,,,8.0,8.0,fase_8,20.0,7,0.0,False,False
1,0,2003.0,2021,Privada *Parcerias com Bolsa 100%,,,,,0.0,,,,,,,,,,,,,,,,,,,10.0,,,,2024,,,,Universidade Santo Amaro (UNISA),8.0,8.0,fase_8,21.0,3,0.0,False,False
10,0,2004.0,2021,Escola Pública,Quartzo,5.784,17.0,9.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.3,5.2,5.0,Requer avaliação,4.1,3.3,2.6,6.4,Não,7.056,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,6.827999999999994,,,,7.0,8.0,fase_0_7,18.0,1,-1.0,False,True
100,0,2009.0,2019,Rede Decisão,Ametista,7.618,22.0,7.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,7.8,5.0,Não indicado,7.6,7.0,7.8,8.1,Não,7.25,10.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,7.080000000000002,,,,4.0,3.0,fase_0_7,13.0,3,1.0,False,False
1000,0,2015.0,2023,Pública,Ametista,7.9162,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.5,9.4,3.77,,7.0,7.0,7.0,,,8.92,10.0,,,,2023,6.25,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1000,0,2015.0,2023,Pública,Topázio,8.364790909100002,,,2.0,Avaliador-15,,Avaliador-2,,,,,,9.002,9.5454545455,6.26,,7.75,7.5,8.0,,,7.835,10.0,,,,2024,8.125,,,EE Helio Luiz Dobrochinski Prof,1.0,1.0,fase_0_7,9.0,1,0.0,False,False
1001,0,2014.0,2023,Pública,Topázio,8.1162,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.1,7.52,,7.8,8.3,7.3,,,9.17,5.0,,,,2023,7.5,,,,0.0,1.0,fase_0_7,9.0,0,-1.0,True,True
1001,0,2014.0,2023,Pública,Ametista,7.7964318841,,,2.0,Avaliador-15,,Avaliador-2,,,,,,7.502,9.347826087,7.51,,7.75,6.5,9.0,,,7.92,5.0,,,,2024,7.916666667,,,EE Helio Luiz Dobrochinski Prof,1.0,2.0,fase_0_7,10.0,1,-1.0,False,True
1002,0,2014.0,2023,Pública,Ametista,7.9012,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.7,7.52,,7.0,7.0,7.0,,,8.92,5.0,,,,2023,6.25,,,,0.0,1.0,fase_0_7,9.0,0,-1.0,False,True
1002,0,2014.0,2023,Pública,Ametista,7.967866666700001,,,2.0,Avaliador-13,,Avaliador-2,,,,,,9.002,7.833333333500001,7.51,,9.25,10.0,8.5,,,8.25,5.0,,,,2024,7.5,,,EM Cecilia Cristina de Oliveira Rodrigues,0.0,1.0,fase_0_7,10.0,1,-1.0,False,True
1003,1,2015.0,2023,Pública,Ametista,7.6522,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,8.5,7.52,,4.0,8.0,0.0,,,8.75,10.0,,,,2023,7.5,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1003,1,2015.0,2023,Pública,Ametista,7.627588888900001,,,2.0,Avaliador-3,,Avaliador-13,,,,,,8.002,8.6944444445,7.51,,8.25,10.0,6.5,,,7.5,5.0,,,,2024,6.875,,,EM Maria Ignez Concelles Irma Ines,0.0,1.0,fase_0_7,9.0,1,-1.0,False,True
1004,0,2014.0,2023,Pública,Topázio,8.3137,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,9.6,7.52,,7.9,6.5,9.2,,,7.42,10.0,,,,2023,6.875,,,,0.0,0.0,fase_0_7,9.0,0,0.0,False,False
1004,0,2014.0,2023,Pública,Ametista,7.801200000000001,,,2.0,Avaliador-3,,Avaliador-13,,,,,,9.502,9.25,7.51,,7.5,7.5,7.5,,,7.5,5.0,,,,2024,7.5,,,EM Pedro Antonio de Almeida,0.0,1.0,fase_0_7,10.0,1,-1.0,False,True
1005,1,2015.0,2023,Pública,Topázio,8.4252,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,7.9,7.52,,8.8,8.4,9.2,,,8.165,10.0,,,,2023,7.5,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1006,0,2015.0,2023,Pública,Topázio,8.5922,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,9.3,7.52,,8.7,8.7,8.6,,,8.0,10.0,,,,2023,7.5,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1006,0,2015.0,2023,Pública,Ametista,7.040088888900001,,,2.0,Avaliador-3,,Avaliador-13,,,,,,8.502,8.4444444445,7.51,,5.0,5.0,5.0,,,7.5,5.0,,,,2024,7.5,,,EM Pedro Antonio de Almeida,0.0,1.0,fase_0_7,9.0,1,-1.0,False,True
