fase,ano,inde_medio,ipv_medio,n_alunos
0.0,2022,7.365552631578947,7.557915789473684,190
0.0,2023,7.679520851367965,8.319148629151515,231
0.0,2024,7.5021203406841845,7.283265306107143,196
1.0,2022,7.199828125,7.360833333333333,192
1.0,2023,7.452116233138728,8.098554913300578,173
1.0,2024,7.564358997774595,7.501909909918919,185
2.0,2022,6.958929032258065,7.33978064516129,155
2.0,2023,7.37155762141206,8.210120833314999,200
2.0,2024,7.37166302171892,7.213878378345946,185
3.0,2022,6.599864864864864,6.5485945945945945,148
3.0,2023,6.966129987363636,7.575416666666667,132
3.0,2024,7.106355119180506,6.952834123227488,211
4.0,2022,7.005276315789473,7.206157894736842,76
4.0,2023,7.072078503795454,7.9491489361702135,94
4.0,2024,7.29641986014261,7.843004347826088,115
5.0,2022,6.875283333333333,7.260666666666666,60
5.0,2023,6.867290897369231,7.451846153846154,65
5.0,2024,7.474830685605001,7.5574583333700005,100
6.0,2022,7.201166666666667,8.215944444444444,18
6.0,2023,7.243016919212121,7.727803030303031,33
6.0,2024,7.843370121066667,7.75792,25
7.0,2022,6.6350476190476195,7.180714285714285,21
7.0,2023,7.829890000100001,7.880750000000001,23
7.0,2024,7.579201677362162,7.642432432405405,37
8.0,2023,,,63
8.0,2024,,,64
