ano,fase,ian_medio,defasagem_severa,defasagem_moderada,total
2022,0.0,6.802631578947368,53,68,190
2022,1.0,5.7421875,42,120,192
2022,2.0,6.403225806451613,16,95,155
2022,3.0,6.993243243243243,36,46,148
2022,4.0,6.480263157894737,22,28,76
2022,5.0,6.25,22,22,60
2022,6.0,5.833333333333333,0,15,18
2022,7.0,6.190476190476191,0,16,21
2023,0.0,7.456709956709957,48,69,231
2023,1.0,6.170520231213873,15,117,173
2023,2.0,6.875,13,111,200
2023,3.0,7.575757575757576,22,41,132
2023,4.0,7.473404255319149,21,24,94
2023,5.0,6.730769230769231,18,23,65
2023,6.0,6.363636363636363,7,17,33
2023,7.0,8.695652173913043,0,6,23
2023,8.0,10.0,0,0,63
2024,0.0,6.25,24,123,196
2024,1.0,6.45945945945946,16,115,185
2024,2.0,8.135135135135135,1,68,185
2024,3.0,8.672985781990521,12,43,211
2024,4.0,7.195652173913044,17,47,115
2024,5.0,7.2,23,33,100
2024,6.0,7.6,0,12,25
2024,7.0,10.0,0,0,37
2024,8.0,10.0,0,0,64
