ano,fase,ida_medio
2022,0.0,7.14
2022,1.0,6.4640625
2022,2.0,5.406451612903226
2022,3.0,5.141891891891892
2022,4.0,6.052631578947368
2022,5.0,5.873333333333333
2022,6.0,6.694444444444445
2022,7.0,5.252380952380952
2023,0.0,7.422077922077922
2023,1.0,6.814450867052024
2023,2.0,6.736683417085427
2023,3.0,5.746969696969697
2023,4.0,6.004255319148936
2023,5.0,5.904615384615385
2023,6.0,6.809090909090909
2023,7.0,7.81
2023,8.0,
2024,0.0,7.32015306122449
2024,1.0,6.79054054054054
2024,2.0,6.25
2024,3.0,5.347630331753554
2024,4.0,5.8789855072463775
2024,5.0,6.453333333333334
2024,6.0,7.23
2024,7.0,5.81036036036036
2024,8.0,8.0
