id_aluno,ano,ieg,ida,ipv
1,2022,4.1,4.0,7.278
1,2023,,,
1,2024,,,
2,2022,5.2,6.8,6.778
2,2023,,,
2,2024,,,
3,2022,7.9,5.6,7.556
4,2022,4.5,5.0,5.278
5,2022,8.6,5.2,7.389
5,2023,,,
6,2022,4.5,3.3,7.222
6,2023,,,
6,2024,,,
7,2022,8.4,7.6,7.667
7,2023,,,
7,2024,,,
8,2022,4.6,1.6,6.278
9,2022,9.5,6.7,9.5
10,2022,5.2,4.1,7.056
11,2022,4.2,3.0,6.389
12,2022,4.0,1.5,6.389
12,2023,,,
12,2024,,,
13,2022,7.4,4.7,8.056
13,2023,,,
13,2024,,,
14,2022,8.3,4.0,7.75
14,2023,,,
14,2024,,,
15,2022,10.0,7.3,7.292
16,2022,8.3,3.5,6.333
17,2022,10.0,7.8,8.292
17,2023,,,
17,2024,,,
18,2022,8.7,9.0,6.875
19,2022,9.5,8.0,7.0
19,2023,9.4,7.8,8.1725
19,2024,,,
20,2022,10.0,7.8,7.167
21,2022,9.2,3.8,7.25
21,2023,,,
21,2024,,,
22,2022,7.4,6.7,8.833
23,2022,8.2,6.7,8.556
23,2023,,,
23,2024,,,
24,2022,7.9,8.6,9.111
25,2022,8.3,6.9,9.667
25,2023,,,
25,2024,,,
26,2022,8.8,8.0,10.0
26,2023,,,
26,2024,,,
27,2022,7.6,8.0,9.111
27,2023,7.7,6.9,8.8825
27,2024,,,
28,2022,6.1,5.0,6.333
29,2022,4.0,3.7,7.611
29,2023,,,
29,2024,,,
30,2022,6.4,7.5,7.333
31,2022,9.5,8.0,10.0
31,2023,,,
31,2024,,,
32,2022,5.2,6.1,7.944
32,2023,8.2,7.9,6.8775
33,2022,4.6,4.8,6.0
34,2022,4.8,3.8,7.278
34,2023,,,
35,2022,9.6,8.5,10.0
35,2023,,,
35,2024,,,
36,2022,9.0,6.8,8.944
36,2023,,,
36,2024,,,
37,2022,5.4,5.9,5.222
38,2022,8.9,8.6,9.833
38,2023,9.7,7.7,8.8825
38,2024,,,
39,2022,4.8,6.9,6.111
39,2023,9.1,7.8,8.7575
39,2024,,,
40,2022,7.8,6.8,7.75
40,2023,8.2,5.9,7.755
40,2024,7.211257310000001,5.333333333333333,6.276666667
41,2022,6.1,5.6,4.375
42,2022,7.9,4.8,6.083
42,2023,8.6,5.7,6.6675
42,2024,9.682539682666668,8.166666666666666,7.134
43,2022,6.5,4.3,5.958
43,2023,6.7,5.0,7.5875
44,2022,5.9,3.0,7.292
44,2023,8.5,6.9,7.17
