ida,ieg,ips,ipp,inde,em_risco
4.0,4.1,5.6,8.174000000000001,5.783,True
4.1,5.2,5.0,6.827999999999994,5.784,True
7.6,7.8,5.0,7.080000000000002,7.618,False
7.0,9.4,3.77,6.25,7.9162,False
7.75,9.5454545455,6.26,8.125,8.364790909100002,False
7.8,9.1,7.52,7.5,8.1162,True
7.75,9.347826087,7.51,7.916666667,7.7964318841,True
7.0,9.7,7.52,6.25,7.9012,True
9.25,7.833333333500001,7.51,7.5,7.967866666700001,True
4.0,8.5,7.52,7.5,7.6522,False
8.25,8.6944444445,7.51,6.875,7.627588888900001,True
7.9,9.6,7.52,6.875,8.3137,False
7.5,9.25,7.51,7.5,7.801200000000001,True
8.8,7.9,7.52,7.5,8.4252,False
8.7,9.3,7.52,7.5,8.5922,False
5.0,8.4444444445,7.51,7.5,7.040088888900001,True
8.3,7.4,7.52,7.5,8.0782,False
8.4,8.6,7.52,5.9375,8.13595,False
7.0,6.483957219,7.51,7.1875,6.8667414438000005,True
8.8,9.0,3.77,7.5,7.245,False
7.5,6.8863636365000005,2.51,6.5625,6.395389393900001,True
7.6,8.3,7.5,7.18399999999999,7.305,True
9.4,10.0,3.77,7.8125,8.70645,False
5.2,8.6,3.77,7.1875,7.33095,False
6.6,9.9,3.77,7.1875,7.96495,False
9.75,9.523809524,2.51,8.125,8.057128571400002,True
8.3,9.6,4.39,5.625,7.6237,False
7.75,5.693779904,2.51,5.0,5.7839559808,True
8.2,9.7,3.77,7.5,8.2582,False
5.25,7.8863636365,2.51,6.875,6.315972727300001,True
6.3,9.3,6.27,7.34375,7.538908333,True
4.0,7.8214285715,7.51,6.041666667,6.643252381000002,False
6.7,9.5,7.52,7.34375,7.762575,True
7.7,8.0,5.02,7.5,6.505333333,True
5.0,7.8095238095,6.26,7.1875,7.345521428500001,False
6.3,8.5,5.02,7.5,6.824,False
8.25,7.727272727,6.26,8.4375,7.7054045454,True
4.3,9.1,5.02,6.875,7.177033333,False
8.75,9.3073593075,6.26,7.8125,8.692255194900001,False
5.7,7.7,6.9,6.819999999999986,6.922,False
6.1,9.1,2.52,7.1875,7.612283333,False
9.0,9.7727272725,6.88,8.4375,8.9544954545,False
3.3,9.2,3.77,7.1875,6.964616667,False
8.0,9.318181818,7.51,8.4375,8.0985863636,True
4.7,8.5,3.77,7.1875,7.164616667,False
6.5,9.318181818,6.26,7.5,7.613169697000002,True
9.1,10.0,6.27,8.75,9.1342,False
9.5,9.511904762,9.375,8.958333333,9.4985809523,False
9.8,10.0,6.27,9.21875,7.788875,True
10.0,10.0,7.51,8.4375,8.6516166666,True
7.5,8.9,7.52,7.65625,8.215158333,False
9.0,7.727272727,7.51,8.4375,7.897071212,True
3.2,9.8,7.52,6.40625,6.494825,True
6.0,9.7,7.52,7.5,7.748866667,True
5.25,10.0,7.51,7.916666667,8.220866666700001,False
5.0,9.2,7.52,7.34375,6.415708333,True
7.5,7.055335968,5.63,6.875,7.1404338602,True
5.4,6.3,3.77,7.5,7.058533333,False
8.75,8.7954545455,6.885,7.5,7.797790909100001,True
7.3,8.7,7.5,8.253999999999992,8.107,False
7.1,9.2,5.0,8.125,8.0239,False
9.166666666666666,9.603174603333336,6.26,7.875,8.775268254,False
6.9,9.7,3.77,6.875,7.4027,True
8.0,8.28320802,4.385,7.8125,7.740191604,False
5.9,8.8,7.52,6.666666667,7.0602,True
6.25,8.6363636365,7.51,5.3125,6.8757227273,True
6.0,9.5,7.52,7.291666667,7.434033333,True
8.0,9.75,7.51,7.8125,8.01645,True
7.9,8.9,7.52,8.125,8.126033333,True
8.3,9.0,7.52,8.333333333,7.9642,True
7.5,8.0833333335,7.51,7.708333333,8.0333666666,False
5.8,8.3,7.52,7.708333333,6.888833333,False
7.0,9.0227272725,7.51,8.4375,7.833495454500001,True
8.0,9.6,3.77,9.0625,6.970583333,True
7.0,9.0890269155,7.51,7.65625,8.2841303831,False
6.7,8.4,7.52,8.59375,7.655575,True
6.5,9.3,7.52,8.90625,7.736825,True
8.5,7.5438596495,7.51,7.5,7.9646385965,False
6.2,9.9,7.52,8.125,7.686033333,True
7.25,9.722222222,7.51,7.5,7.549644444400001,True
3.7,8.7,7.5,7.034000000000011,6.315,True
2.6,7.7,2.52,5.625,4.25,True
6.6,9.3,7.52,7.8125,7.81545,True
8.25,8.5416666665,7.51,7.5,7.764199999900001,True
3.3,7.2,7.52,7.8125,6.724116667,True
4.3,6.5,3.77,7.708333333,5.331166667,True
2.5,7.9,6.27,7.708333333,6.5447,True
8.25,7.994071146,7.51,7.291666667,7.539847562500002,True
6.1,9.7,7.52,7.5,7.629533333,True
7.0,9.523809524,7.51,7.1875,7.966711904800001,False
7.9,9.4,7.52,7.708333333,8.089033333,True
6.3,8.5,3.77,8.541666667,6.835833333,False
6.9,8.5,3.77,8.125,7.848366667,False
8.2,9.5,3.77,8.541666667,7.811366667,True
6.25,6.833333333500001,6.255,7.708333333,7.5198666666,False
6.3,7.7,7.52,8.125,7.443366667,True
4.5,8.03030303,7.51,7.65625,6.821885606,True
6.7,8.2,5.6,7.826000000000004,6.846,True
7.2,9.2,6.27,8.125,7.764366667,True
8.4,8.9,6.27,8.75,8.534866667,False
5.3,9.0,7.52,7.916666667,6.960333333,False
8.25,9.128787879,6.26,8.59375,7.744032575800001,True
8.6,9.1,6.27,8.958333333,7.776166667,False
6.6,8.6,7.52,7.5,7.459533333,True
6.25,7.3291925465,7.51,7.1875,6.985788509300001,True
5.5,7.2,7.52,7.291666667,5.9765,True
5.5,5.7954545455,7.51,7.1875,6.403040909100001,True
8.1,9.6,7.52,7.96875,8.551741667,False
8.25,9.2857142855,7.51,9.166666667,8.192009523800001,True
6.3,10.0,7.52,8.125,8.4827,False
8.0,10.0,6.26,8.75,8.2352,True
5.4,8.7,3.14,7.083333333,7.356533333,False
7.75,8.095238095,6.88,8.125,7.703347619,True
7.6,9.8,2.52,7.96875,7.763741667,True
7.5,10.0,6.26,9.0625,8.678450000000002,False
7.4,8.0,9.4,8.579999999999997,7.973,True
7.3,9.1,5.0,7.03125,7.769658333,False
5.666666666666667,8.761904762,5.635,7.8125,7.721664285733334,False
5.7,8.6,3.14,7.96875,7.095741667,True
3.25,6.0,6.26,7.8125,6.448416666600001,False
9.3,9.7,3.14,8.75,8.196533333,True
8.5,10.0,6.26,8.4375,8.76595,False
6.2,7.7,3.77,8.59375,7.448841667,False
7.25,9.047619048,5.63,8.75,7.6147238096,True
5.9,9.5,7.52,6.40625,7.490825,True
7.75,9.75,7.51,7.8125,7.279250000000001,True
8.6,9.8,7.52,9.375,8.4777,True
8.5,9.7368421055,7.51,8.75,8.9802350877,False
7.0,9.6,7.52,8.4375,8.03395,True
9.25,8.8152173915,6.26,9.0625,8.8634934783,False
6.2,6.6,7.52,8.4375,7.262616667,True
7.25,8.3954451345,6.26,7.5,7.9326223603,False
5.4,7.9,7.52,8.28125,6.541458333,True
6.75,8.333333332999999,7.51,8.541666667,7.840033333300001,True
9.0,9.3,6.89,9.166666667,8.472533333,True
9.5,9.068181818,7.51,8.541666667,9.0150030303,False
7.1,7.8,7.52,8.125,7.590033333,True
6.25,7.0760869565,7.51,8.125,7.678917391300001,False
4.6,6.4,7.5,7.58,6.258,True
7.0,8.5,5.0,7.34375,6.845208333,False
4.666666666666667,7.9949874686666655,7.51,7.5,6.676130827066667,True
5.8,7.8,3.14,7.708333333,6.939033333,True
2.25,9.3073593075,5.635,6.875,6.287171861500001,True
3.5,8.6,7.52,5.625,6.414033333,True
4.5,4.188311688500001,7.51,4.166666667,4.8048623378,True
6.7,8.6,5.0,8.125,8.0152,False
8.166666666666666,5.627886710333333,8.755,7.96875,7.8153856754,False
6.2,8.8,2.52,8.333333333,6.384333333,True
6.5,6.370972886666667,7.5,6.875,7.0859945773333335,False
6.0,9.8,2.52,7.083333333,6.195833333,True
5.5,9.6,5.0,7.708333333,6.591333333,True
6.0,8.5154061625,3.755,7.708333333,6.8100812324,True
8.5,9.7,2.52,8.333333333,7.901033333,True
6.333333333333333,7.777033492666668,8.125,7.03125,7.479598365200001,False
7.3,9.7,2.52,8.75,7.2115,False
2.0,7.703703703666666,6.885,6.40625,5.543865740733334,False
6.4,6.8,2.52,8.958333333,6.472333333,True
7.6,8.1,2.52,7.083333333,6.916533333,True
6.333333333333333,4.516498316333333,2.51,4.21875,5.4253413299333335,False
5.0,7.7,5.0,5.720000000000001,5.547,True
2.9,7.3,2.52,4.375,4.9308,True
1.5,10.0,5.0,8.541666667,6.571966667,True
6.5,10.0,2.52,8.958333333,7.666033333,True
8.833333333333334,9.523809523666666,5.005,9.166666667,8.5452952381,False
5.0,9.5,2.52,8.75,7.1617,True
3.75,7.5714285715,10.0,7.083333333,6.6114857142,True
7.5,10.0,5.0,8.75,8.2345,False
6.8,10.0,2.52,8.75,7.9948,False
3.6666666666666665,7.705263158,5.63,7.03125,6.9071109649333335,False
6.7,9.8,2.52,8.958333333,6.563833333,True
5.7,9.4,2.52,8.75,7.2382,True
5.4,9.5,2.52,8.75,7.2067,True
2.6666666666666665,8.393265993333333,8.755,7.1875,6.913936532,False
6.8,9.8,2.52,8.75,7.4717,True
7.0,9.5,2.52,8.75,7.9947,False
6.833333333333333,7.039682539666667,8.13,7.1875,7.6221531746,False
8.4,10.0,8.8,8.386000000000013,8.512,True
8.3,9.9,7.52,8.75,8.3184,True
9.0,9.6,2.52,8.958333333,7.844033333,True
6.333333333333333,7.621832358666666,7.51,7.8125,7.7652831384,False
9.5,9.0,2.52,8.958333333,8.032533333,True
6.9,9.8,2.52,8.75,7.41,True
9.2,9.3,2.52,8.958333333,8.197533333,False
8.666666666666666,7.722222222333333,8.13,8.90625,8.5079027778,False
8.5,9.5,2.52,8.75,8.1779,False
7.333333333333333,9.523809523666666,2.51,8.4375,8.0164785714,False
5.3,9.8,2.52,8.75,6.238,True
2.333333333333333,7.84502924,7.51,5.46875,6.108547514666667,False
9.6,9.9,2.52,8.958333333,8.615533333,False
8.5,9.866666666666667,8.755,9.0625,9.189883333333334,False
5.4,8.6,5.0,8.125,6.9547,True
3.0,4.849791144666667,6.25,6.041666667,5.475324895633334,True
